paper_title,paper_link,conference,year,repo_link,repo_star,last_update
DSAC - Differentiable RANSAC for Camera Localization,http://openaccess.thecvf.com/content_cvpr_2017/html/Brachmann_DSAC_-_Differentiable_CVPR_2017_paper.html,CVPR,2017,https://github.com/cvlab-dresden/DSAC,144,2019-01-02
Learning a Multi-View Stereo Machine,http://papers.nips.cc/paper/6640-learning-a-multi-view-stereo-machine.pdf,NIPS,2017,https://github.com/akar43/lsm,135,2019-01-02
Segmentation-Aware Convolutional Networks Using Local Attention Masks,http://openaccess.thecvf.com/content_iccv_2017/html/Harley_Segmentation-Aware_Convolutional_Networks_ICCV_2017_paper.html,ICCV,2017,https://github.com/aharley/segaware,126,2019-01-02
Cross-Domain Weakly-Supervised Object Detection Through Progressive Domain Adaptation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Inoue_Cross-Domain_Weakly-Supervised_Object_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/naoto0804/cross-domain-detection,143,2019-01-02
Bayesian Compression for Deep Learning,http://papers.nips.cc/paper/6921-bayesian-compression-for-deep-learning.pdf,NIPS,2017,https://github.com/KarenUllrich/Tutorial_BayesianCompressionForDL,130,2019-01-02
Fast and Accurate Online Video Object Segmentation via Tracking Parts,http://openaccess.thecvf.com/content_cvpr_2018/papers/Cheng_Fast_and_Accurate_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JingchunCheng/FAVOS,129,2019-01-02
Learning to Compare: Relation Network for Few-Shot Learning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Sung_Learning_to_Compare_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/lzrobots/LearningToCompare_ZSL,135,2019-01-02
Dynamic Image Networks for Action Recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/Bilen_Dynamic_Image_Networks_CVPR_2016_paper.html,CVPR,2016,https://github.com/hbilen/dynamic-image-nets,133,2019-01-02
Context Encoders: Feature Learning by Inpainting,http://openaccess.thecvf.com/content_cvpr_2016/html/Pathak_Context_Encoders_Feature_CVPR_2016_paper.html,CVPR,2016,https://github.com/jazzsaxmafia/Inpainting,124,2019-01-02
Weakly Supervised Instance Segmentation Using Class Peak Response,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhou_Weakly_Supervised_Instance_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/ZhouYanzhao/PRM,166,2019-01-02
MVSNet: Depth Inference for Unstructured Multi-view Stereo,http://openaccess.thecvf.com/content_ECCV_2018/html/Yao_Yao_MVSNet_Depth_Inference_ECCV_2018_paper.html,ECCV,2018,https://github.com/YoYo000/MVSNet,174,2019-01-02
Recurrent Squeeze-and-Excitation Context Aggregation Net for Single Image Deraining,http://openaccess.thecvf.com/content_ECCV_2018/html/Xia_Li_Recurrent_Squeeze-and-Excitation_Context_ECCV_2018_paper.html,ECCV,2018,https://github.com/XiaLiPKU/RESCAN,142,2019-01-02
L4: Practical loss-based stepsize adaptation for deep learning,http://arxiv.org/abs/1802.05074v4,NIPS,2018,https://github.com/martius-lab/l4-optimizer,123,2019-01-02
Value Prediction Network,http://papers.nips.cc/paper/7192-value-prediction-network.pdf,NIPS,2017,https://github.com/junhyukoh/value-prediction-network,119,2019-01-02
Structure Inference Net: Object Detection Using Scene-Level Context and Instance-Level Relationships,http://openaccess.thecvf.com/content_cvpr_2018/papers/Liu_Structure_Inference_Net_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/choasup/SIN,140,2019-01-02
Hierarchical Attentive Recurrent Tracking,http://papers.nips.cc/paper/6898-hierarchical-attentive-recurrent-tracking.pdf,NIPS,2017,https://github.com/akosiorek/hart,121,2019-01-02
A Closer Look at Spatiotemporal Convolutions for Action Recognition,http://openaccess.thecvf.com/content_cvpr_2018/papers/Tran_A_Closer_Look_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/irhumshafkat/R2Plus1D-PyTorch,143,2019-01-02
Discriminative Correlation Filter With Channel and Spatial Reliability,http://openaccess.thecvf.com/content_cvpr_2017/html/Lukezic_Discriminative_Correlation_Filter_CVPR_2017_paper.html,CVPR,2017,https://github.com/alanlukezic/csr-dcf,124,2019-01-02
Pix3D: Dataset and Methods for Single-Image 3D Shape Modeling,http://openaccess.thecvf.com/content_cvpr_2018/papers/Sun_Pix3D_Dataset_and_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/xingyuansun/pix3d,152,2019-01-02
Unsupervised Learning of Monocular Depth Estimation and Visual Odometry With Deep Feature Reconstruction,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhan_Unsupervised_Learning_of_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/Huangying-Zhan/Depth-VO-Feat,158,2019-01-02
Learning by Association -- A Versatile Semi-Supervised Training Method for Neural Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Haeusser_Learning_by_Association_CVPR_2017_paper.html,CVPR,2017,https://github.com/haeusser/learning_by_association,119,2019-01-02
Associative Domain Adaptation,http://openaccess.thecvf.com/content_iccv_2017/html/Haeusser_Associative_Domain_Adaptation_ICCV_2017_paper.html,ICCV,2017,https://github.com/haeusser/learning_by_association,119,2019-01-02
Concrete Dropout,http://papers.nips.cc/paper/6949-concrete-dropout.pdf,NIPS,2017,https://github.com/yaringal/ConcreteDropout,127,2019-01-02
SVDNet for Pedestrian Retrieval,http://openaccess.thecvf.com/content_iccv_2017/html/Sun_SVDNet_for_Pedestrian_ICCV_2017_paper.html,ICCV,2017,https://github.com/syfafterzy/SVDNet-for-Pedestrian-Retrieval,121,2019-01-02
MultiPoseNet: Fast Multi-Person Pose Estimation using Pose Residual Network,http://openaccess.thecvf.com/content_ECCV_2018/html/Muhammed_Kocabas_MultiPoseNet_Fast_Multi-Person_ECCV_2018_paper.html,ECCV,2018,https://github.com/salihkaragoz/pose-residual-network-pytorch,167,2019-01-02
Gated Path Planning Networks,http://proceedings.mlr.press/v80/lee18c.html,ICML,2018,https://github.com/lileee/gated-path-planning-networks,121,2019-01-02
Semantic Image Synthesis via Adversarial Learning,http://openaccess.thecvf.com/content_iccv_2017/html/Dong_Semantic_Image_Synthesis_ICCV_2017_paper.html,ICCV,2017,https://github.com/woozzu/dong_iccv_2017,121,2019-01-02
"Depth-Based Hand Pose Estimation: Data, Methods, and Challenges",http://openaccess.thecvf.com/content_iccv_2015/html/Supancic_Depth-Based_Hand_Pose_ICCV_2015_paper.html,ICCV,2015,https://github.com/jsupancic/deep_hand_pose,121,2019-01-02
Deep Pyramidal Residual Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Han_Deep_Pyramidal_Residual_CVPR_2017_paper.html,CVPR,2017,https://github.com/jhkim89/PyramidNet,112,2019-01-02
Spatiotemporal Multiplier Networks for Video Action Recognition,http://openaccess.thecvf.com/content_cvpr_2017/html/Feichtenhofer_Spatiotemporal_Multiplier_Networks_CVPR_2017_paper.html,CVPR,2017,https://github.com/feichtenhofer/st-resnet,121,2019-01-02
PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Mallya_PackNet_Adding_Multiple_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/arunmallya/packnet,117,2019-01-02
CosFace: Large Margin Cosine Loss for Deep Face Recognition,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_CosFace_Large_Margin_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yule-li/CosFace,135,2019-01-02
Decoupled Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Liu_Decoupled_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/wy1iu/DCNets,105,2019-01-02
Video Based Reconstruction of 3D People Models,http://openaccess.thecvf.com/content_cvpr_2018/papers/Alldieck_Video_Based_Reconstruction_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/thmoa/videoavatars,179,2019-01-02
Good Semi-supervised Learning That Requires a Bad GAN,http://papers.nips.cc/paper/7229-good-semi-supervised-learning-that-requires-a-bad-gan.pdf,NIPS,2017,https://github.com/kimiyoung/ssl_bad_gan,120,2019-01-02
DeepMVS: Learning Multi-View Stereopsis,http://openaccess.thecvf.com/content_cvpr_2018/papers/Huang_DeepMVS_Learning_Multi-View_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/phuang17/DeepMVS,125,2019-01-02
Deep Watershed Transform for Instance Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Bai_Deep_Watershed_Transform_CVPR_2017_paper.html,CVPR,2017,https://github.com/min2209/dwt,120,2019-01-02
PoseTrack: Joint Multi-Person Pose Estimation and Tracking,http://openaccess.thecvf.com/content_cvpr_2017/html/Iqbal_PoseTrack_Joint_Multi-Person_CVPR_2017_paper.html,CVPR,2017,https://github.com/iqbalu/PoseTrack-CVPR2017,121,2019-01-02
TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep Learning,http://papers.nips.cc/paper/6749-terngrad-ternary-gradients-to-reduce-communication-in-distributed-deep-learning.pdf,NIPS,2017,https://github.com/wenwei202/terngrad,117,2019-01-02
Adaptive Affinity Fields for Semantic Segmentation,http://openaccess.thecvf.com/content_ECCV_2018/html/Jyh-Jing_Hwang_Adaptive_Affinity_Field_ECCV_2018_paper.html,ECCV,2018,https://github.com/twke18/Adaptive_Affinity_Fields,141,2019-01-02
"Show, Adapt and Tell: Adversarial Training of Cross-Domain Image Captioner",http://openaccess.thecvf.com/content_iccv_2017/html/Chen_Show_Adapt_and_ICCV_2017_paper.html,ICCV,2017,https://github.com/tsenghungchen/show-adapt-and-tell,115,2019-01-02
Real-Time Seamless Single Shot 6D Object Pose Prediction,http://openaccess.thecvf.com/content_cvpr_2018/papers/Tekin_Real-Time_Seamless_Single_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/Microsoft/singleshotpose,174,2019-01-02
Hierarchical Imitation and Reinforcement Learning,http://proceedings.mlr.press/v80/le18a.html,ICML,2018,https://github.com/hoangminhle/hierarchical_IL_RL,124,2019-01-02
TI-Pooling: Transformation-Invariant Pooling for Feature Learning in Convolutional Neural Networks,http://openaccess.thecvf.com/content_cvpr_2016/html/Laptev_TI-Pooling_Transformation-Invariant_Pooling_CVPR_2016_paper.html,CVPR,2016,https://github.com/dlaptev/TI-pooling,109,2019-01-02
Bayesian Optimization with Gradients,http://papers.nips.cc/paper/7111-bayesian-optimization-with-gradients.pdf,NIPS,2017,https://github.com/wujian16/Cornell-MOE,117,2019-01-02
MemNet: A Persistent Memory Network for Image Restoration,http://openaccess.thecvf.com/content_iccv_2017/html/Tai_MemNet_A_Persistent_ICCV_2017_paper.html,ICCV,2017,https://github.com/tyshiwo/MemNet,119,2019-01-02
Split-Brain Autoencoders: Unsupervised Learning by Cross-Channel Prediction,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_Split-Brain_Autoencoders_Unsupervised_CVPR_2017_paper.html,CVPR,2017,https://github.com/richzhang/splitbrainauto,110,2019-01-02
Long-term Tracking in the Wild: a Benchmark,http://openaccess.thecvf.com/content_ECCV_2018/html/Efstratios_Gavves_Long-term_Tracking_in_ECCV_2018_paper.html,ECCV,2018,https://github.com/oxuva/long-term-tracking-benchmark,116,2019-01-02
Detail-Revealing Deep Video Super-Resolution,http://openaccess.thecvf.com/content_iccv_2017/html/Tao_Detail-Revealing_Deep_Video_ICCV_2017_paper.html,ICCV,2017,https://github.com/jiangsutx/SPMC_VideoSR,126,2019-01-02
Realistic Evaluation of Deep Semi-Supervised Learning Algorithms,http://arxiv.org/abs/1804.09170v2,NIPS,2018,https://github.com/brain-research/realistic-ssl-evaluation,175,2019-01-02
FaceNet: A Unified Embedding for Face Recognition and Clustering,http://openaccess.thecvf.com/content_cvpr_2015/html/Schroff_FaceNet_A_Unified_2015_CVPR_paper.html,CVPR,2015,https://github.com/liorshk/facenet_pytorch,124,2019-01-02
Compressed Sensing using Generative Models,http://proceedings.mlr.press/v70/bora17a.html,ICML,2017,https://github.com/AshishBora/csgm,116,2019-01-02
Unrestricted Facial Geometry Reconstruction Using Image-To-Image Translation,http://openaccess.thecvf.com/content_iccv_2017/html/Sela_Unrestricted_Facial_Geometry_ICCV_2017_paper.html,ICCV,2017,https://github.com/matansel/pix2vertex,119,2019-01-02
Deep Back-Projection Networks for Super-Resolution,http://openaccess.thecvf.com/content_cvpr_2018/papers/Haris_Deep_Back-Projection_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/alterzero/DBPN-Pytorch,132,2019-01-02
Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry and Semantics,http://openaccess.thecvf.com/content_cvpr_2018/papers/Kendall_Multi-Task_Learning_Using_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/alexgkendall/multitaskvision,131,2019-01-02
Deep Hyperspherical Learning,http://papers.nips.cc/paper/6984-deep-hyperspherical-learning.pdf,NIPS,2017,https://github.com/wy1iu/SphereNet,92,2019-01-02
Recovering Realistic Texture in Image Super-Resolution by Deep Spatial Feature Transform,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Recovering_Realistic_Texture_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/xinntao/CVPR18-SFTGAN,139,2019-01-02
Switching Convolutional Neural Network for Crowd Counting,http://openaccess.thecvf.com/content_cvpr_2017/html/Sam_Switching_Convolutional_Neural_CVPR_2017_paper.html,CVPR,2017,https://github.com/val-iisc/crowd-counting-scnn,116,2019-01-02
3D-CODED: 3D Correspondences by Deep Deformation,http://openaccess.thecvf.com/content_ECCV_2018/html/Thibault_Groueix_Shape_correspondences_from_ECCV_2018_paper.html,ECCV,2018,https://github.com/ThibaultGROUEIX/3D-CODED,125,2019-01-02
FeUdal Networks for Hierarchical Reinforcement Learning,http://proceedings.mlr.press/v70/vezhnevets17a.html,ICML,2017,https://github.com/dmakian/feudal_networks,107,2019-01-02
PU-Net: Point Cloud Upsampling Network,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yu_PU-Net_Point_Cloud_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yulequan/PU-Net,117,2019-01-02
Scale-Recurrent Network for Deep Image Deblurring,http://openaccess.thecvf.com/content_cvpr_2018/papers/Tao_Scale-Recurrent_Network_for_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/jiangsutx/SRN-Deblur,159,2019-01-02
"WILDCAT: Weakly Supervised Learning of Deep ConvNets for Image Classification, Pointwise Localization and Segmentation",http://openaccess.thecvf.com/content_cvpr_2017/html/Durand_WILDCAT_Weakly_Supervised_CVPR_2017_paper.html,CVPR,2017,https://github.com/durandtibo/wildcat.pytorch,116,2019-01-02
Noisy Natural Gradient as Variational Inference,http://proceedings.mlr.press/v80/zhang18l.html,ICML,2018,https://github.com/wlwkgus/NoisyNaturalGradient,108,2019-01-02
Video Frame Synthesis Using Deep Voxel Flow,http://openaccess.thecvf.com/content_iccv_2017/html/Liu_Video_Frame_Synthesis_ICCV_2017_paper.html,ICCV,2017,https://github.com/liuziwei7/voxel-flow,114,2019-01-02
Working hard to know your neighbor's margins: Local descriptor learning loss,http://papers.nips.cc/paper/7068-working-hard-to-know-your-neighbors-margins-local-descriptor-learning-loss.pdf,NIPS,2017,https://github.com/DagnyT/hardnet,128,2019-01-02
Domain Adaptive Faster R-CNN for Object Detection in the Wild,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Domain_Adaptive_Faster_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yuhuayc/da-faster-rcnn,123,2019-01-02
"Train longer, generalize better: closing the generalization gap in large batch training of neural networks",http://papers.nips.cc/paper/6770-train-longer-generalize-better-closing-the-generalization-gap-in-large-batch-training-of-neural-networks.pdf,NIPS,2017,https://github.com/eladhoffer/bigBatch,112,2019-01-02
Natural Language Object Retrieval,http://openaccess.thecvf.com/content_cvpr_2016/html/Hu_Natural_Language_Object_CVPR_2016_paper.html,CVPR,2016,https://github.com/ronghanghu/natural-language-object-retrieval,100,2019-01-02
Adversarial Discriminative Domain Adaptation,http://openaccess.thecvf.com/content_cvpr_2017/html/Tzeng_Adversarial_Discriminative_Domain_CVPR_2017_paper.html,CVPR,2017,https://github.com/corenel/pytorch-adda,129,2019-01-02
Quantized Densely Connected U-Nets for Efficient Landmark Localization,http://openaccess.thecvf.com/content_ECCV_2018/html/Zhiqiang_Tang_Quantized_Densely_Connected_ECCV_2018_paper.html,ECCV,2018,https://github.com/zhiqiangdon/CU-Net,143,2019-01-02
Rethinking Feature Distribution for Loss Functions in Image Classification,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wan_Rethinking_Feature_Distribution_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/WeitaoVan/L-GM-loss,120,2019-01-02
DenseASPP for Semantic Segmentation in Street Scenes,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yang_DenseASPP_for_Semantic_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/DeepMotionAIResearch/DenseASPP,151,2019-01-02
ThiNet: A Filter Level Pruning Method for Deep Neural Network Compression,http://openaccess.thecvf.com/content_iccv_2017/html/Luo_ThiNet_A_Filter_ICCV_2017_paper.html,ICCV,2017,https://github.com/Roll920/ThiNet,105,2019-01-02
Graph R-CNN for Scene Graph Generation,http://openaccess.thecvf.com/content_ECCV_2018/html/Jianwei_Yang_Graph_R-CNN_for_ECCV_2018_paper.html,ECCV,2018,https://github.com/jwyang/graph-rcnn.pytorch,144,2019-01-02
"Factoring Shape, Pose, and Layout From the 2D Image of a 3D Scene",http://openaccess.thecvf.com/content_cvpr_2018/papers/Tulsiani_Factoring_Shape_Pose_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/shubhtuls/factored3d,114,2019-01-02
Multi-View Supervision for Single-View Reconstruction via Differentiable Ray Consistency,http://openaccess.thecvf.com/content_cvpr_2017/html/Tulsiani_Multi-View_Supervision_for_CVPR_2017_paper.html,CVPR,2017,https://github.com/shubhtuls/drc,100,2019-01-02
Massively Parallel Multiview Stereopsis by Surface Normal Diffusion,http://openaccess.thecvf.com/content_iccv_2015/html/Galliani_Massively_Parallel_Multiview_ICCV_2015_paper.html,ICCV,2015,https://github.com/kysucix/gipuma,105,2019-01-02
Deep Depth Completion of a Single RGB-D Image,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_Deep_Depth_Completion_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yindaz/DeepCompletionRelease,134,2019-01-02
Cross-Scale Cost Aggregation for Stereo Matching,http://openaccess.thecvf.com/content_cvpr_2014/html/Zhang_Cross-Scale_Cost_Aggregation_2014_CVPR_paper.html,CVPR,2014,https://github.com/rookiepig/CrossScaleStereo,106,2019-01-02
Density-Aware Single Image De-Raining Using a Multi-Stream Dense Network,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_Density-Aware_Single_Image_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/hezhangsprinter/DID-MDN,118,2019-01-02
Weakly Supervised Deep Detection Networks,http://openaccess.thecvf.com/content_cvpr_2016/html/Bilen_Weakly_Supervised_Deep_CVPR_2016_paper.html,CVPR,2016,https://github.com/hbilen/WSDDN,103,2019-01-02
Task-based End-to-end Model Learning in Stochastic Optimization,http://papers.nips.cc/paper/7132-task-based-end-to-end-model-learning-in-stochastic-optimization.pdf,NIPS,2017,https://github.com/locuslab/e2e-model-learning,100,2019-01-02
MAttNet: Modular Attention Network for Referring Expression Comprehension,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yu_MAttNet_Modular_Attention_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/lichengunc/MAttNet,104,2019-01-02
Interleaved Group Convolutions,http://openaccess.thecvf.com/content_iccv_2017/html/Zhang_Interleaved_Group_Convolutions_ICCV_2017_paper.html,ICCV,2017,https://github.com/hellozting/InterleavedGroupConvolutions,95,2019-01-02
"Style Tokens: Unsupervised Style Modeling, Control and Transfer in End-to-End Speech Synthesis",http://proceedings.mlr.press/v80/wang18h.html,ICML,2018,https://github.com/syang1993/gst-tacotron,129,2019-01-02
ELEGANT: Exchanging Latent Encodings with GAN for Transferring Multiple Face Attributes,http://openaccess.thecvf.com/content_ECCV_2018/html/Taihong_Xiao_ELEGANT_Exchanging_Latent_ECCV_2018_paper.html,ECCV,2018,https://github.com/Prinsphield/ELEGANT,117,2019-01-02
Learning to Propose Objects,http://openaccess.thecvf.com/content_cvpr_2015/html/Krahenbuhl_Learning_to_Propose_2015_CVPR_paper.html,CVPR,2015,https://github.com/philkr/lpo,91,2019-01-02
Learning to Compose Domain-Specific Transformations for Data Augmentation,http://papers.nips.cc/paper/6916-learning-to-compose-domain-specific-transformations-for-data-augmentation.pdf,NIPS,2017,https://github.com/HazyResearch/tanda,97,2019-01-02
Deeply-Recursive Convolutional Network for Image Super-Resolution,http://openaccess.thecvf.com/content_cvpr_2016/html/Kim_Deeply-Recursive_Convolutional_Network_CVPR_2016_paper.html,CVPR,2016,https://github.com/jiny2001/deeply-recursive-cnn-tf,96,2019-01-02
Neural Arithmetic Logic Units,http://arxiv.org/abs/1808.00508v1,NIPS,2018,https://github.com/llSourcell/Neural_Arithmetic_Logic_Units,87,2019-01-02
Learning a Deep Embedding Model for Zero-Shot Learning,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_Learning_a_Deep_CVPR_2017_paper.html,CVPR,2017,https://github.com/lzrobots/DeepEmbeddingModel_ZSL,104,2019-01-02
Knowledge Aided Consistency for Weakly Supervised Phrase Grounding,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Knowledge_Aided_Consistency_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/kanchen-usc/KAC-Net,87,2019-01-02
AMC: Attention guided Multi-modal Correlation Learning for Image Search,http://openaccess.thecvf.com/content_cvpr_2017/html/Chen_AMC_Attention_guided_CVPR_2017_paper.html,CVPR,2017,https://github.com/kanchen-usc/AMC_ATT,90,2019-01-02
Perturbative Neural Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Juefei-Xu_Perturbative_Neural_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/juefeix/pnn.pytorch,130,2019-01-02
End-to-End Weakly-Supervised Semantic Alignment,http://openaccess.thecvf.com/content_cvpr_2018/papers/Rocco_End-to-End_Weakly-Supervised_Semantic_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/ignacio-rocco/weakalign,106,2019-01-02
Repulsion Loss: Detecting Pedestrians in a Crowd,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Repulsion_Loss_Detecting_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/bailvwangzi/repulsion_loss_ssd,113,2019-01-02
Decoupled Neural Interfaces using Synthetic Gradients,http://proceedings.mlr.press/v70/jaderberg17a.html,ICML,2017,https://github.com/andrewliao11/dni.pytorch,90,2019-01-02
Image Question Answering Using Convolutional Neural Network With Dynamic Parameter Prediction,http://openaccess.thecvf.com/content_cvpr_2016/html/Noh_Image_Question_Answering_CVPR_2016_paper.html,CVPR,2016,https://github.com/HyeonwooNoh/DPPnet,88,2019-01-02
Semantic Autoencoder for Zero-Shot Learning,http://openaccess.thecvf.com/content_cvpr_2017/html/Kodirov_Semantic_Autoencoder_for_CVPR_2017_paper.html,CVPR,2017,https://github.com/Elyorcv/SAE,92,2019-01-02
Unite the People: Closing the Loop Between 3D and 2D Human Representations,http://openaccess.thecvf.com/content_cvpr_2017/html/Lassner_Unite_the_People_CVPR_2017_paper.html,CVPR,2017,https://github.com/classner/up,110,2019-01-02
Genetic CNN,http://openaccess.thecvf.com/content_iccv_2017/html/Xie_Genetic_CNN_ICCV_2017_paper.html,ICCV,2017,https://github.com/aqibsaeed/Genetic-CNN,97,2019-01-02
HashNet: Deep Learning to Hash by Continuation,http://openaccess.thecvf.com/content_iccv_2017/html/Cao_HashNet_Deep_Learning_ICCV_2017_paper.html,ICCV,2017,https://github.com/thuml/HashNet,97,2019-01-02
Learning Blind Video Temporal Consistency,http://openaccess.thecvf.com/content_ECCV_2018/html/Wei-Sheng_Lai_Real-Time_Blind_Video_ECCV_2018_paper.html,ECCV,2018,https://github.com/phoenix104104/fast_blind_video_consistency,109,2019-01-02
ECO: Efficient Convolution Operators for Tracking,http://openaccess.thecvf.com/content_cvpr_2017/html/Danelljan_ECO_Efficient_Convolution_CVPR_2017_paper.html,CVPR,2017,https://github.com/nicewsyly/ECO,103,2019-01-02
PSANet: Point-wise Spatial Attention Network for Scene Parsing,http://openaccess.thecvf.com/content_ECCV_2018/html/Hengshuang_Zhao_PSANet_Point-wise_Spatial_ECCV_2018_paper.html,ECCV,2018,https://github.com/hszhao/PSANet,121,2019-01-02
Learning Combinatorial Optimization Algorithms over Graphs,http://papers.nips.cc/paper/7214-learning-combinatorial-optimization-algorithms-over-graphs.pdf,NIPS,2017,https://github.com/Hanjun-Dai/graph_comb_opt,109,2019-01-02
Best of Both Worlds: Transferring Knowledge from Discriminative Learning to a Generative Visual Dialog Model,http://papers.nips.cc/paper/6635-best-of-both-worlds-transferring-knowledge-from-discriminative-learning-to-a-generative-visual-dialog-model.pdf,NIPS,2017,https://github.com/jiasenlu/visDial.pytorch,94,2019-01-02
Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights,http://openaccess.thecvf.com/content_ECCV_2018/html/Arun_Mallya_Piggyback_Adapting_a_ECCV_2018_paper.html,ECCV,2018,https://github.com/arunmallya/piggyback,88,2019-01-02
SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,http://openaccess.thecvf.com/content_cvpr_2017/html/Chen_SCA-CNN_Spatial_and_CVPR_2017_paper.html,CVPR,2017,https://github.com/zjuchenlong/sca-cnn.cvpr17,102,2019-01-02
GANs for Biological Image Synthesis,http://openaccess.thecvf.com/content_iccv_2017/html/Osokin_GANs_for_Biological_ICCV_2017_paper.html,ICCV,2017,https://github.com/aosokin/biogans,85,2019-01-02
Fast-Slow Recurrent Neural Networks,http://papers.nips.cc/paper/7173-fast-slow-recurrent-neural-networks.pdf,NIPS,2017,https://github.com/amujika/Fast-Slow-LSTM,82,2019-01-02
Nonlinear 3D Face Morphable Model,http://openaccess.thecvf.com/content_cvpr_2018/papers/Tran_Nonlinear_3D_Face_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/tranluan/Nonlinear_Face_3DMM,128,2019-01-02
Deep Mutual Learning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_Deep_Mutual_Learning_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/YingZhangDUT/Deep-Mutual-Learning,100,2019-01-02
DynamicFusion: Reconstruction and Tracking of Non-Rigid Scenes in Real-Time,http://openaccess.thecvf.com/content_cvpr_2015/html/Newcombe_DynamicFusion_Reconstruction_and_2015_CVPR_paper.html,CVPR,2015,https://github.com/mihaibujanca/dynamicfusion,118,2019-01-02
Octree Generating Networks: Efficient Convolutional Architectures for High-Resolution 3D Outputs,http://openaccess.thecvf.com/content_iccv_2017/html/Tatarchenko_Octree_Generating_Networks_ICCV_2017_paper.html,ICCV,2017,https://github.com/lmb-freiburg/ogn,92,2019-01-02
Practical Bayesian Optimization for Model Fitting with Bayesian Adaptive Direct Search,http://papers.nips.cc/paper/6780-practical-bayesian-optimization-for-model-fitting-with-bayesian-adaptive-direct-search.pdf,NIPS,2017,https://github.com/lacerbi/bads,90,2019-01-02
Optical Flow in Mostly Rigid Scenes,http://openaccess.thecvf.com/content_cvpr_2017/html/Wulff_Optical_Flow_in_CVPR_2017_paper.html,CVPR,2017,https://github.com/jswulff/mrflow,83,2019-01-02
Representation Learning by Learning to Count,http://openaccess.thecvf.com/content_iccv_2017/html/Noroozi_Representation_Learning_by_ICCV_2017_paper.html,ICCV,2017,https://github.com/gitlimlab/Representation-Learning-by-Learning-to-Count,84,2019-01-02
